# x,y,z,B_x_err,B_y_err,B_z_err
-5.507032959490255897e-02,-8.490514354244685369e-02,1.373461846075508738e-02,6.081513297065299639e+00,3.064637108715940883e+01,1.100885670766501079e+01
-5.419806615796515792e-02,-7.826691979700636792e-02,9.779668795681411425e-03,4.412543285035392948e+00,5.279334176926690247e+01,1.331906574689324607e+01
-5.579789398892376351e-02,-7.812431770458048985e-02,8.826617624523207598e-03,6.392189259757424580e+00,1.485398422049128619e+01,2.072443772692644259e+01
-5.588337580287739553e-02,-7.669254594396496261e-02,8.921598910290850712e-03,5.824826221771694179e+00,7.960788684198160325e+00,1.875322473763258557e+01
-5.428354797191878300e-02,-7.593735061129749941e-02,9.874650081449054539e-03,2.982433626919099190e+00,2.271378206878083283e-01,1.387018011115256755e+01
-5.339815224248586900e-02,-7.699152470557926731e-02,1.025619438126050380e-02,2.514349585114928232e+00,1.034976799375992229e+01,1.093900521330391484e+01
-5.216813572967544249e-02,-7.678445299029902638e-02,1.004614208338677935e-02,2.498582408972247038e+00,1.332220487091176153e+01,1.621206010088155480e+01
-5.458085455112375584e-02,-8.429735247812533694e-02,1.075697297098125726e-02,5.746292156716215516e+00,5.062862831161851318e+00,1.350974868681803542e+01
-5.544348690722725181e-02,-8.311050355404539514e-02,1.111653181407141339e-02,6.130419523787494995e+00,6.125625645739321001e+00,1.315175412843442615e+01
-5.450161770687095286e-02,-8.139819621686301965e-02,1.216425511185948230e-02,3.654715625377922272e+00,2.442032862309475405e+01,1.012856400507328480e+01
-5.489127627998611342e-02,-8.059933412777384176e-02,1.122066302796199434e-02,4.738424922276638362e+00,1.360748523414003408e+01,1.086766213285827654e+01
-5.402864392388261050e-02,-7.999058820166704553e-02,1.086110418487183996e-02,4.041123706612870237e+00,2.979329103811792834e+01,1.337819785649294957e+01
-5.370434240551314603e-02,-8.357658991421781924e-02,1.077519077818967289e-02,5.132429701268589106e+00,8.059865854841717692e+01,1.271930046478360055e+01
-5.456697476161664201e-02,-8.238974099013787744e-02,1.113474962127982901e-02,5.385288328689843418e+00,3.034316062533134684e+00,1.203783470468469474e+01
-5.495663333473180256e-02,-8.159087890104871343e-02,1.019115753738234105e-02,6.879568998185607853e+00,1.298569968603058442e+04,1.449956736382166156e+01
-5.156327191887853656e-02,-7.826172811500414772e-02,9.832663526678497856e-03,3.158844411265387286e+00,1.632747366875404671e+00,2.863363526129945669e+01
-5.146384321091612007e-02,-9.623466202352154442e-02,9.795748151628393824e-03,3.330176342702841907e+01,9.240089320374549686e+01,3.531921989672574114e+01
-5.269404850260293871e-02,-8.388185944124762483e-02,1.009504107334032418e-02,5.039944079070166616e+00,5.534172863144193322e+00,1.822749417195320021e+01
-5.155103153047588954e-02,-7.551754074149812090e-02,9.831744948020254213e-03,2.349516466062659070e+00,8.835018976433868687e+00,2.294453920595118035e+01
-7.532533089791904057e-02,-9.456663850258104076e-02,-7.304063215224930461e-02,8.911386191900740528e+01,2.917189283691697028e+02,1.097180557972827586e+02
-7.116139643463960385e-02,-9.003711289741625490e-02,-7.505232718441864903e-02,7.645258012861036434e+01,1.291236715571341620e+03,1.410946204700380520e+02
-5.557612504809979898e-02,-9.906079438120679592e-02,9.072228910734149443e-03,7.043795115213488600e+01,nan,7.170923957776342661e+01
-5.442666929114377272e-02,-9.816299695611341303e-02,9.375816444403762412e-03,6.114616977484960358e+01,2.336105526877082994e+01,5.419081616483931185e+01
-5.291027311659802362e-02,-9.852584924244597864e-02,9.451549051714946623e-03,6.016597603037883601e+01,1.335185674295970060e+01,5.418439130381506885e+01
-5.264386979832819113e-02,-9.750701976425923956e-02,8.790749583924206342e-03,5.178879367936096401e+01,2.354786850980291035e+01,6.980462460332758212e+01
-5.416026597287394717e-02,-9.714416747792670170e-02,8.715016976613022132e-03,5.651388425366129553e+01,1.190452949335707586e+02,6.093144437289440418e+01
-5.703178909308274924e-02,-9.802393577578635830e-02,8.002996447187171042e-03,6.911133043226432449e+01,3.251314125901876650e+02,6.700457224447198712e+01
-5.771097386257961065e-02,-9.896314139457956793e-02,6.842652304673361476e-03,8.450129560535647499e+01,nan,9.332490699704264614e+01
-5.963297731064659546e-02,-9.896314139457956793e-02,7.724439109171041609e-03,8.756068700335762856e+01,nan,8.777175812387642395e+01
-8.319713635277103947e-02,-8.157730574681525126e-02,-5.364779935677052580e-02,1.848183629305373898e+01,4.019602501736560498e+02,1.106932299881117814e+02
