# x,y,z,J_x_err,J_y_err,J_z_err
-5.291846916220942915e-02,-9.472594737400846787e-02,1.467488475585482233e-02,6.875744780218744836e+02,2.616474640187451683e-01,9.502676047555542738e+00
-4.895537522857132395e-02,-9.502545777683116257e-02,1.329299246783775118e-02,1.962110896612662145e+02,1.465956137784915347e-01,7.140034416348839841e+00
-4.851413531122276274e-02,-9.455870518302821048e-02,1.566463385387805232e-02,1.684959842512743080e+03,7.906802528226207494e-02,1.479580859607419541e+02
-4.757979154037173669e-02,-9.381600875376067128e-02,1.434351327010581489e-02,1.360509952569779443e+03,9.501049338427573765e-02,7.976384102243673624e+01
-4.988682118824418893e-02,-9.552702774177193601e-02,1.565437285961920194e-02,6.355623075967823752e+02,1.236155405505223459e-01,1.647113247986571878e+02
-5.189902019540663936e-02,-9.419461400562356701e-02,1.288416242402675577e-02,7.054599770137019732e+01,1.672548306977498789e-01,6.526446664216676297e+00
-4.785325525977796729e-02,-9.416769551988748987e-02,1.312672038736774349e-02,1.306273253529602130e+01,7.171217781137136094e-02,3.255062331093808581e+01
-4.964798725337780938e-02,-9.472693605606791190e-02,1.209345119263830273e-02,7.312476462145295386e+01,2.538079157108792394e-01,3.939816208524614467e+02
-5.282542462688198659e-02,-9.446911585345449391e-02,1.592306018568534140e-02,6.433499652221851647e+03,2.553716893958903333e-01,3.389253583468307625e+02
-5.099774897691954079e-02,-9.496699726671717356e-02,1.682300155526257612e-02,8.524043984051289726e+02,1.169401550294491693e-01,1.542749774287293576e+02
-5.212848938917584440e-02,-9.421726566301637240e-02,1.691093289270542352e-02,2.642300481891522779e+01,1.636395795213935467e-01,8.549048048991012649e+01
-5.403777802617435594e-02,-9.250934409601252462e-02,1.628490446965180985e-02,4.221629708871393518e+02,2.242116767038950659e-02,4.138051997976918415e+02
-5.209364687660790472e-02,-9.287564200180861707e-02,1.717825168296084268e-02,2.999614765793963045e+01,2.369347015202055012e-02,6.774104490403804846e+01
-5.279058211431404690e-02,-9.312749219224675246e-02,1.619037897594076056e-02,2.133184768574479619e+02,2.363898842810432943e-02,2.344618991362605129e+02
-5.413082256150179850e-02,-9.276617561656651245e-02,1.503672903982129078e-02,4.879805476990624058e+00,1.613080142100552228e-02,3.679986153980769359e+01
