a_field_0,a_field_1,a_field_2,x_0,x_1,x_2
-351383078316.2,-55177935309.12,326110572951.68,-0.065804208732275,-0.093205711592225,-0.07463850969995
-348959449903.73,93016100540.896,324678430534.01,-0.06092840499625,-0.0977352371974,-0.081675993058875
-434082162945.91,-56589988434.371,270504141918.65,-0.056644484271925,-0.0954704743948,-0.078095289135275
-389444172971.86,-79445605411.335,302843438127.5,-0.06152028800795,-0.090940948789625,-0.07105780577635
10199739715928,-36108598719895,20092834179945,-0.051889413139675,-0.09317241210385,0.009540111383475
1912846702193.3,-47037655308338,24522937323697,-0.052508735561325,-0.09440202972295,0.0097546620538875
37097753036637,-47037655308320,14097649573516,-0.054091842706475,-0.0947351818449,0.009687575136945
12289914115858,-18620537597384,16313716938616,-0.0550238912284,-0.0937005532194,0.0095473939741175
-452204347298.71,-39591384580393,31271791611882,-0.05224233224305,-0.09517879509495,0.0090938625860975
13980348094385,-18969083280877,17920091277537,-0.056479555273375,-0.094459289464175,0.00847816151057
11747521941132,-15002202117288,19679227523100,-0.056150249196925,-0.096391715514775,0.007402379253325
23817364197910,-19288806962825,29158928620837,-0.054428181833675,-0.096409744642,0.0078108122490825
29057313163281,-6780250412123.4,49178331939473,-0.0538254393882,-0.0955119472169,0.009026775669155
2058072921396.3,-6429854955623.4,3470747840217.2,-0.054997288595825,-0.083794143518925,0.005855870647015
2923597666912.8,-11827595791977,4590007069038.4,-0.052689671970575,-0.086537965338625,0.00867444491415
1114884462733.6,-9708125831620.3,4689882219448.2,-0.053778330348275,-0.085413401366725,0.008326816273045
2105994687646,-10030540645706,5757631810012.5,-0.054744782943225,-0.08538532568025,0.006966658649655
1794353365641.3,-12937091210033,4378889196259.5,-0.051512659825425,-0.08576797228115,0.00923063442542
514194906719.5,-10359502248107,4570701515276.4,-0.052601318203125,-0.08464340830925,0.008883005784315
11789015409942,-21371264584616,16959143335752,-0.0537691319376,-0.092153201169275,0.00902722058669
-2214975162295.5,-13231495695653,19637806383347,-0.052217760994025,-0.091958212175675,0.008952851079105
4684828667599,-20877168082677,10554869507637,-0.0513371699762,-0.08968429051865,0.00964297709382
2838329303568.7,-13006256445060,7939520204945.2,-0.05407818966135,-0.089752561794525,0.009162152596415
1965476773336.6,-14010207295675,5527604735149.9,-0.0543461055222,-0.090813733808825,0.00825794786889
892655244928.45,-24981618390843,10435771269474,-0.051949845133175,-0.090897040161375,0.00985705580663
964460747467.82,-15394277085213,7973910786529.2,-0.05253346598245,-0.0886766433522,0.0090882550464325
11731713081235,-24981618390825,13816064155266,-0.05350121607675,-0.091092029154975,0.009931425314215
12039407968840,-13904271662525,13617502283836,-0.05579448926265,-0.095945856159275,0.005769716530925
6650003624498.9,-13154375831145,15479585664446,-0.053806018581125,-0.0958428532334,0.00551735005889
16415166333043,-20358912894746,42711401460608,-0.0528895521939,-0.0962090887295,0.00676726508281
2390119913463.3,-7915874354491.7,26213279458800,-0.053310745839975,-0.0974750734944,0.0044739653653925
2803664436982.2,-69693263093865,1.0004617325214e+14,-0.0523425324186,-0.099423646667525,0.00840480149402
11915246676887,-16403421721147,37020442263256,-0.052092942073075,-0.0988601384687,0.005337932299415
6862985287899.1,-28151837895011,71967442554105,-0.052076129100325,-0.098404817189325,0.00774400202623
11259827116371,-15330334736001,41554045299302,-0.0520538956351,-0.0978413089905,0.0066247222526475
23228334699329,-83898070156391,1.1112421825448e+14,-0.050803321109375,-0.099423646667525,0.0094250144958275
-120011447258.32,-253557434147.74,807616234077.73,-0.07964977189125,-0.08448604005995,-0.04409473219605
-114102494072.66,-157331756453.42,767455608300.79,-0.0815865337789,-0.0800388117445,-0.047906451604775
-16741034102.932,-220421630923.19,319607187164.71,-0.0957572893875,-0.057661458274375,-0.057865101907275
-58209466718.919,-289668978953.45,339696328424.26,-0.0916858535637,-0.052613264417925,-0.056245007154375
-52596563889.594,-154419228833.76,50841033481.357,-0.096052892952925,-0.029929491054925,-0.09244547848485
-64755007098.41,-232933729149.14,323237034614.14,-0.0920314678468,-0.048481449681075,-0.059025271017625
-65834117540.233,-284169401442.79,302039188140.59,-0.08918682236975,-0.04452275948465,-0.05323988986405
