electric_potential_0,x_0,x_1,x_2
0,-0.08882047794325,-0.05267377880805,-0.048535408995175
0,-0.09289191376705,-0.0573865883382,-0.0451922974209
0,-0.08709159358555,-0.071075376611575,-0.04195316339845
0,-0.087556705108375,-0.06623937105365,-0.04586321464225
0,-0.08910531488915,-0.061879320638175,-0.04205083003975
0,-0.06089460453095,-0.074745314165675,-0.0943335643779
0,-0.061993853766425,-0.08030553232035,-0.08612308105615
0,-0.079869100418925,-0.071262169793275,-0.09066647196225
0,-0.0758519866176,-0.065987848192375,-0.094388533529225
0,-0.0647380194842,-0.0702893366742,-0.097263172226075
0,-0.072598706694525,-0.070693618262475,-0.097263172226075
0,-0.07094096946435,-0.08117531025145,-0.090804282885175
0,-0.07661582049585,-0.075967939863375,-0.0935411106591
0,-0.063080440709775,-0.080356966142025,-0.091596736603975
0,-0.069854382521,-0.081123876429775,-0.08533062733735
0,-0.077928643662325,-0.081178070604025,-0.075895422894325
0,-0.08650903286335,-0.082092252640175,-0.073896945251475
0,-0.092701448349725,-0.073647042699125,-0.07294538293545
0,-0.08739600141935,-0.083200879032125,-0.067722977128725
0,-0.081201562296325,-0.08307560354155,-0.062875184130625
0,-0.07427887602135,-0.0770514418427,-0.08062333197735
0,-0.0911501107823,-0.07776704907735,-0.076883590324925
0,-0.08142865481405,-0.07918873626265,-0.058566292651925
0,-0.0869095884477,-0.072198530792775,-0.08148108481875
0,-0.085190243386975,-0.07402274123775,-0.06322594988425
0,-0.0896042287882,-0.077462863642475,-0.067527445029225
0,-0.078618742887775,-0.072397105594275,-0.083222348828325
0,-0.088460926015125,-0.06807852441455,-0.077542877429275
0,-0.0715713854664,-0.05002841100505,-0.096708652382275
0,-0.07016851948525,-0.041781689802925,-0.0905116187482
0,-0.0749747733257,-0.04589154505395,-0.093834013685425
0,-0.07153334056855,-0.06097876399915,-0.0910971859115
0,-0.07566754937695,-0.0558686847858,-0.093834013685425
0,-0.07907093723625,-0.0517318188347,-0.090959374988575
0,-0.077737229905125,-0.066288122784025,-0.0811951330016
0,-0.0882374278105,-0.04739183905295,-0.081844966382675
0,-0.08359522491495,-0.0646767361557,-0.076271691819075
0,-0.092701448349725,-0.055989634796925,-0.074631597160725
0,-0.088460926015125,-0.058281803722675,-0.079633373242825
0,-0.09283534187005,-0.050113603531875,-0.076843190300575
0,-0.08893824554065,-0.0486614377432,-0.07197856967615
0,-0.074668941387225,-0.0601441027898,-0.0853479085178
0,-0.086295862505675,-0.0529906225489,-0.084419003502425
0,-0.0783618728876,-0.0532415349877,-0.085210097594875
0,-0.06032674444545,-0.07544283320175,-0.083000693133725
0,-0.05690429307935,-0.080473297855325,-0.078625618965625
0,-0.073421740551175,-0.079959296448125,-0.070956255672825
0,-0.060257918722775,-0.08007286780885,-0.072893998025325
0,-0.063680370088875,-0.075042403155275,-0.077269072193425
0,-0.0697719729102,-0.0758326676868,-0.07568416475585
0,-0.0760347831469,-0.0768613357148,-0.059801093553175
0,-0.063027462400525,-0.08493556692745,-0.07027513132925
0,-0.0700996814076,-0.0840317310352,-0.069922296414325
0,-0.0724856314856,-0.084820637580775,-0.063076025773375
0,-0.075807690629175,-0.0807482029937,-0.064109985031875
0,-0.08298923677795,-0.067036451977225,-0.06342172738635
0,-0.085938976399875,-0.0527798125179,-0.067726993305125
0,-0.082537521079,-0.06319632743445,-0.0694460783283
0,-0.08673324167625,-0.050625907259125,-0.06179524663875
0,-0.087403222179175,-0.058057494044775,-0.069013786683275
0,-0.076930996099375,-0.06993768419955,-0.062420767554325
0,-0.08638762739315,-0.054757721995975,-0.0590149827755
0,-0.083612227265625,-0.063321168492375,-0.059138524322425
0,-0.08802621266685,-0.058900603686775,-0.063035737879125
0,-0.08065687615225,-0.055800802142125,-0.053240170572875
0,-0.08337456364825,-0.059783056250125,-0.043423738692525
0,-0.08308972670235,-0.05504955632775,-0.04735440982235
0,-0.081825953867475,-0.0641431066656,-0.047236123295025
0,-0.079494633632125,-0.07111662919285,-0.034974689692375
0,-0.0799928220202,-0.071178271729425,-0.040962480877475
0,-0.078969892914625,-0.065961796412825,-0.04294863133755
0,-0.076281960084075,-0.07650620153085,-0.0484202660048
0,-0.07537762764175,-0.07201302946315,-0.04472537403825
0,-0.0763265187197,-0.061369059798225,-0.053072392603825
0,-0.0733949039432,-0.068793643470025,-0.058016088659125
0,-0.074354698536175,-0.06679655414655,-0.046711524498325
0,-0.072498690990725,-0.075717294985275,-0.055396414657975
0,-0.077210759489025,-0.064977864399325,-0.0509990164558
0,-0.077643284559375,-0.064746544457675,-0.05494999124975
0,-0.05763706846985,-0.069207719297375,-0.08476629214295
0,-0.06096175656525,-0.06400278894815,-0.093555115687475
0,-0.057118341612,-0.068458766439625,-0.0906255078393
0,-0.064503797726525,-0.0593979863432,-0.09026376806975
0,-0.06439484110315,-0.048413983304875,-0.093662854140225
0,-0.063433252430025,-0.0419597506915,-0.090340459203
0,-0.061461462171675,-0.052673479429675,-0.089954797601625
0,-0.0454102610324,-0.077094020905725,-0.09244495944185
0,-0.049442830789625,-0.08693441274965,-0.081155630692425
0,-0.04842399789295,-0.085116733842075,-0.08826753263445
0,-0.0427922799496,-0.087127233503725,-0.087770732527075
0,-0.0508392854484,-0.07980695082845,-0.079473841803475
0,-0.071143538142,-0.043573409713675,-0.084591181809325
0,-0.0779771396215,-0.037798936830775,-0.068154331882075
0,-0.0808757602221,-0.04689155315205,-0.080006971153975
0,-0.0752407276338,-0.0491929811177,-0.08216429935285
0,-0.0815134620141,-0.0397880436894,-0.07248584164515
0,-0.08157657795225,-0.04690505279895,-0.073934547516225
0,-0.078577308811475,-0.05102342757365,-0.0696829711452
0,-0.075130420713,-0.0385780821006,-0.0844629304158
0,-0.074799517734225,-0.0347632777328,-0.080139585847875
0,-0.0817943542752,-0.0403105986716,-0.082336649536425
0,-0.081463451296425,-0.0364957943038,-0.0780133049685
0,-0.077105394105975,-0.052852187234725,-0.0550960850379
0,-0.078939049017475,-0.04910084225655,-0.059800249684875
0,-0.075648817252875,-0.04891792230825,-0.065560836806075
0,-0.07511176400105,-0.042810440674925,-0.065480903414025
232736.20029275,-0.055433149577825,-0.09627446540455,0.014503163334723
233664.18305572,-0.055460541692475,-0.099419390118575,0.015892404347945
0,-0.056762453556275,-0.08191588733055,0.007275302592675
0,-0.0578862981665,-0.080519409152375,0.0068839587754325
0,-0.05692899223575,-0.08330580882795,0.006391670554865
0,-0.05878445313,-0.0815467257409,0.004728786515605
0,-0.058151077894,-0.08345684699705,0.0043216800633725
0,-0.056795606675175,-0.08186409307805,0.009514922156205
0,-0.0568722049053,-0.083105055400725,0.0099732299345775
0,-0.05691676864775,-0.09307742561515,0.007986958331895
0,-0.056634783194775,-0.09362478669145,0.0062164250030125
0,-0.056038078187375,-0.090979222009925,0.0082869180776425
0,-0.05664771697505,-0.089737946295,0.0091749696535975
0,-0.059553369594075,-0.085012288681375,0.00489384987673
0,-0.056491913169975,-0.08689709292385,0.0095626858444675
0,-0.05919806966395,-0.0856680346491,0.0070220456094025
0,-0.056090341742175,-0.08563768043495,0.0090171316421225
0,-0.0571473353484,-0.087598478606675,0.00746764423187
0,-0.058802132701075,-0.087562738129675,0.0069290260425875
0,-0.0574422819474,-0.084705928871925,0.00776822916257
0,-0.056180282191525,-0.085786639609675,0.00767519182594
0,-0.05735234149805,-0.0845569696972,0.0091101689787525
0,-0.057058437401975,-0.0883442480176,0.00881164870369
0,-0.0590011280154,-0.079551240855525,0.000799633088615
0,-0.05921322261605,-0.0794266955597,0.0034662038334275
0,-0.06365815793845,-0.074689475773,-4.135964755e-05
0,-0.062075813306575,-0.078398027318875,0.0004181618355375
0,-0.0622648636801,-0.0846889952969,0.0049015367377825
0,-0.06617459021975,-0.0831214746456,0.0013802973090475
0,-0.06450219662865,-0.085830129866575,0.0023339383754825
229167.88182905,-0.055202461781825,-0.0860840765414,0.014387882143133
154116.82842418,-0.055724868896525,-0.092066108429275,0.012358104875615
77262.160860935,-0.056412168544775,-0.093341944147425,0.012573407151943
154646.89070532,-0.0560180868825,-0.093992353893425,0.013882920726225
231628.45056248,-0.055460446567975,-0.0929890459146,0.014322098090505
